          Ducted Fan 	 run on:  07/14/21			at:   17:06:32 by: Prash>	 Model Author:  Prashanth

    CASE  first_run  switchDes  Conv  Iter  SolveTime[ms]    Alt[ft]    MN  VTAS[m/s]  Vjet[m/s]        Fn[N]  Fn_target[N]    Pfan[kW]    FPR    eff  mdotin[kg/s]  Dfan[in]  Dfan[m]    NcPct   Mtip  Nmech[RPM]  Torque[Nm]  Wc[lbm/s]  NozMN      s_eff       s_PR       s_Wc       s_Nc  etaDF 
       0          0     DESIGN     1    11          0.000   33000.00  0.80     239.44     299.35     5000.000      5000.000   1803.5098  1.300  0.910        83.495     49.55    1.259  100.000  0.900    4237.432   -4064.312    436.978  1.000      1.017      0.437      0.543   4582.601  0.664 
       1          0  OFFDESIGN     1     6          0.000   33000.00  0.80     239.44     299.88     5084.407      5000.000   1899.2360  1.313  0.905        84.161     49.55    1.259  102.399  0.922    4339.086   -4179.765    440.467  1.000      1.017      0.437      0.543   4582.601  0.641 
       2          0  OFFDESIGN     1     6          0.000   33000.00  0.80     239.44     299.61     5040.126      5000.000   1849.2561  1.306  0.907        83.809     49.55    1.259  101.129  0.910    4285.263   -4120.888    438.621  1.000      1.017      0.437      0.543   4582.601  0.653 
       3          0  OFFDESIGN     1     7          0.000   33000.00  0.80     239.44     299.33     4996.274      5000.000   1799.2762  1.299  0.910        83.465     49.55    1.259   99.899  0.899    4233.141   -4058.881    436.825  1.000      1.017      0.437      0.543   4582.601  0.665 
       4          0  OFFDESIGN     1     7          0.000   33000.00  0.80     239.44     299.05     4951.935      5000.000   1749.2963  1.293  0.913        83.113     49.55    1.259   98.754  0.889    4184.617   -3991.892    434.978  1.000      1.017      0.437      0.543   4582.601  0.678 
       5          0  OFFDESIGN     1     6          0.000   33000.00  0.80     239.44     298.77     4906.910      5000.000   1699.3164  1.286  0.916        82.746     49.55    1.259   97.698  0.879    4139.872   -3919.752    433.058  1.000      1.017      0.437      0.543   4582.601  0.691 
       6          0  OFFDESIGN     1     6          0.000   33000.00  0.80     239.44     298.49     4861.187      5000.000   1649.3365  1.279  0.918        82.365     49.55    1.259   96.722  0.870    4098.530   -3842.840    431.065  1.000      1.017      0.437      0.543   4582.601  0.706 
       7          0  OFFDESIGN     1     6          0.000   33000.00  0.80     239.44     298.21     4814.713      5000.000   1599.3566  1.271  0.919        81.969     49.55    1.259   95.833  0.861    4060.874   -3760.945    428.992  1.000      1.017      0.437      0.543   4582.601  0.721 
       8          0  OFFDESIGN     1     6          0.000   33000.00  0.80     239.44     297.92     4767.290      5000.000   1549.3767  1.264  0.919        81.553     49.55    1.259   95.078  0.854    4028.877   -3672.351    426.818  1.000      1.017      0.437      0.543   4582.601  0.737 
       9          0  OFFDESIGN     1     6          0.000   33000.00  0.80     239.44     297.64     4719.395      5000.000   1499.3968  1.256  0.919        81.128     49.55    1.259   94.352  0.848    3998.109   -3581.238    424.594  1.000      1.017      0.437      0.543   4582.601  0.754 
      10          0  OFFDESIGN     1     6          0.000   33000.00  0.80     239.44     296.03     4564.152      5000.000   1449.4169  1.248  0.919        80.693     49.55    1.259   93.643  0.841    3968.075   -3488.065    422.317  0.995      1.017      0.437      0.543   4582.601  0.754 
      11          0  OFFDESIGN     1     8          0.000   33000.00  0.80     239.44     294.36     4405.340      5000.000   1399.4370  1.240  0.918        80.247     49.55    1.259   92.944  0.834    3938.423   -3393.143    419.983  0.989      1.017      0.437      0.543   4582.601  0.754 
      12          0  OFFDESIGN     1     7          0.000   33000.00  0.80     239.44     292.66     4244.617      5000.000   1349.4571  1.232  0.917        79.790     49.55    1.259   92.247  0.828    3908.898   -3296.673    417.590  0.983      1.017      0.437      0.543   4582.601  0.753 
      13          0  OFFDESIGN     1     6          0.000   33000.00  0.80     239.44     290.93     4081.971      5000.000   1299.4773  1.224  0.915        79.322     49.55    1.259   91.547  0.821    3879.259   -3198.830    415.137  0.978      1.017      0.437      0.543   4582.601  0.752 
      14          0  OFFDESIGN     1     7          0.000   33000.00  0.80     239.44     289.15     3917.271      5000.000   1249.4974  1.215  0.913        78.841     49.55    1.259   90.836  0.815    3849.103   -3099.895    412.620  0.972      1.017      0.437      0.543   4582.601  0.751 
      15          0  OFFDESIGN     1     6          0.000   33000.00  0.80     239.44     287.33     3749.272      5000.000   1199.5175  1.207  0.910        78.342     49.55    1.259   90.072  0.808    3816.737   -3001.135    410.011  0.966      1.017      0.437      0.543   4582.601  0.748 
      16          0  OFFDESIGN     1     6          0.000   33000.00  0.80     239.44     285.45     3579.032      5000.000   1149.5376  1.198  0.906        77.829     49.55    1.259   89.288  0.800    3783.516   -2901.341    407.329  0.959      1.017      0.437      0.543   4582.601  0.746 
      17          0  OFFDESIGN     1     6          0.000   33000.00  0.80     239.44     283.54     3406.573      5000.000   1099.5577  1.189  0.902        77.303     49.55    1.259   88.481  0.793    3749.304   -2800.519    404.573  0.953      1.017      0.437      0.543   4582.601  0.742 
      18          0  OFFDESIGN     1     6          0.000   33000.00  0.80     239.44     281.57     3231.890      5000.000   1049.5778  1.181  0.897        76.762     49.55    1.259   87.646  0.785    3713.942   -2698.676    401.741  0.946      1.017      0.437      0.543   4582.601  0.737 
      19          0  OFFDESIGN     1     6          0.000   33000.00  0.80     239.44     279.56     3054.954      5000.000    999.5979  1.172  0.891        76.206     49.55    1.259   86.780  0.777    3677.239   -2595.820    398.830  0.939      1.017      0.437      0.543   4582.601  0.732 
      20          0  OFFDESIGN     1     6          0.000   33000.00  0.80     239.44     277.49     2875.701      5000.000    949.6180  1.162  0.884        75.634     49.55    1.259   85.877  0.769    3638.968   -2491.965    395.836  0.932      1.017      0.437      0.543   4582.601  0.725 
      21          0  OFFDESIGN     1     7          0.000   33000.00  0.80     239.44     275.37     2693.913      5000.000    899.6381  1.153  0.875        75.044     49.55    1.259   84.904  0.760    3597.737   -2387.864    392.752  0.925      1.017      0.437      0.543   4582.601  0.717 
      22          0  OFFDESIGN     1     7          0.000   33000.00  0.80     239.44     273.18     2509.223      5000.000    849.6582  1.144  0.865        74.435     49.55    1.259   83.879  0.750    3554.318   -2282.755    389.565  0.918      1.017      0.437      0.543   4582.601  0.707 
      23          0  OFFDESIGN     1     7          0.000   33000.00  0.80     239.44     270.92     2321.345      5000.000    799.6783  1.134  0.853        73.805     49.55    1.259   82.800  0.740    3508.580   -2176.482    386.265  0.910      1.017      0.437      0.543   4582.601  0.695 
      24          0  OFFDESIGN     1     7          0.000   33000.00  0.80     239.44     268.59     2130.104      5000.000    749.6984  1.124  0.839        73.151     49.55    1.259   81.669  0.730    3460.665   -2068.703    382.843  0.902      1.017      0.437      0.543   4582.601  0.680 
      25          0  OFFDESIGN     1     7          0.000   33000.00  0.80     239.44     266.18     1935.857      5000.000    699.7185  1.114  0.821        72.475     49.55    1.259   80.494  0.719    3410.881   -1958.971    379.304  0.894      1.017      0.437      0.543   4582.601  0.663 
      26          0  OFFDESIGN     1     7          0.000   33000.00  0.80     239.44     263.70     1739.516      5000.000    649.7386  1.104  0.801        71.779     49.55    1.259   79.264  0.708    3358.773   -1847.265    375.664  0.885      1.017      0.437      0.543   4582.601  0.641 
      27          0  OFFDESIGN     1     7          0.000   33000.00  0.80     239.44     261.14     1539.698      5000.000    599.7587  1.094  0.777        71.057     49.55    1.259   77.958  0.696    3303.397   -1733.752    371.884  0.877      1.017      0.437      0.543   4582.601  0.615 
      28          0  OFFDESIGN     1     7          0.000   33000.00  0.80     239.44     258.47     1335.733      5000.000    549.7788  1.083  0.746        70.304     49.55    1.259   76.565  0.683    3244.402   -1618.172    367.941  0.868      1.017      0.437      0.543   4582.601  0.582 
      29          0  OFFDESIGN     1     8          0.000   33000.00  0.80     239.44     255.68     1126.742      5000.000    499.7989  1.072  0.708        69.513     49.55    1.259   75.132  0.670    3183.655   -1499.134    363.805  0.858      1.017      0.437      0.543   4582.601  0.540 
