toc,Re,Mach,alpha,CL,CD,CM,CDw,CDv,CDp,file,Missing,wasInterpolated,InterpAxis
0.09,2.0e7,0.3,-0.239,0.4,0.00643,-0.1171,0.0,0.00643,0.0011,polar.c090_40,false,false,
0.09,2.0e7,0.4,-0.338,0.4,0.00647,-0.1208,0.0,0.00647,0.00117,polar.c090_40,false,false,
0.09,2.0e7,0.5,-0.469,0.4,0.00653,-0.1261,0.0,0.00653,0.00129,polar.c090_40,false,false,
0.09,2.0e7,0.6,-0.63,0.4,0.00665,-0.1339,0.0,0.00665,0.00149,polar.c090_40,false,false,
0.09,2.0e7,0.63,-0.683,0.4,0.00672,-0.1369,0.0,0.00672,0.00158,polar.c090_40,false,false,
0.09,2.0e7,0.65,-0.717,0.4,0.0068,-0.139,0.0,0.0068,0.00165,polar.c090_40,false,false,
0.09,2.0e7,0.67,-0.752,0.4,0.00688,-0.1414,0.0,0.00688,0.00174,polar.c090_40,false,false,
0.09,2.0e7,0.68,-0.769,0.4,0.00693,-0.1426,0.0,0.00693,0.00179,polar.c090_40,false,false,
0.09,2.0e7,0.69,-0.785,0.4,0.00697,-0.1439,0.0,0.00697,0.00184,polar.c090_40,false,false,
0.09,2.0e7,0.7,-0.802,0.4,0.00702,-0.1453,0.0,0.00702,0.00189,polar.c090_40,false,false,
0.09,2.0e7,0.71,-0.818,0.4,0.00708,-0.1467,0.0,0.00708,0.00196,polar.c090_40,false,false,
0.09,2.0e7,0.72,-0.833,0.4,0.00714,-0.1482,0.0,0.00714,0.00203,polar.c090_40,false,false,
0.09,2.0e7,0.73,-0.837,0.4,0.0072,-0.1494,0.0,0.0072,0.00211,polar.c090_40,false,false,
0.09,2.0e7,0.74,-0.84,0.4,0.00728,-0.1507,0.0,0.00728,0.0022,polar.c090_40,false,false,
0.09,2.0e7,0.75,-0.845,0.4,0.00737,-0.1523,0.0,0.00737,0.0023,polar.c090_40,false,false,
0.09,2.0e7,0.76,-0.855,0.4,0.00747,-0.1543,0.0,0.00748,0.00243,polar.c090_40,false,false,
0.09,2.0e7,0.765,-0.86,0.4,0.00755,-0.1555,0.0,0.00754,0.00252,polar.c090_40,false,false,
0.09,2.0e7,0.77,-0.856,0.4,0.00769,-0.1566,5.0e-5,0.00764,0.00268,polar.c090_40,false,false,
